Date,^NSEI,RELIANCE.NS,HDFCBANK.NS,TCS.NS,ICICIBANK.NS,INFY.NS,SBIN.NS,BAJFINANCE.NS,INDHOTEL.NS,ONGC.NS,NAUKRI.NS,INR=X,JETAIRWAYS.NS,IDEA.NS,GOLD-MMIc1.MCX,SILVER-MSDc1.MCX,IND-10Y.BOND,NIFTY.FUT
2014-01-17,6261.649902,411.296875,309.161774,897.381653,166.377991,358.47583,147.727081,151.680267,52.952934,122.40136,550.207642,61.419998,264.450012,89.810783,29385.0,45163.0,8.627,6261.65
2014-01-20,6303.950195,404.323792,311.509583,948.129456,167.897751,360.354858,149.576477,151.270676,53.181183,122.252342,563.823303,61.549999,265.350006,91.565361,29414.0,45054.0,8.517,6320.15
2014-01-21,6313.799805,401.209198,314.322235,924.651306,173.373734,361.224701,151.184402,153.906693,52.998585,122.188492,548.090637,61.618,280.200012,90.940849,29362.0,44503.0,8.553,6326.4
2014-01-22,6338.950195,405.578949,314.787109,922.117004,174.965866,361.950256,150.031982,151.656204,52.861633,123.380547,546.166138,61.970001,274.350006,91.476143,29269.0,44373.0,8.608,6353.0
2014-01-23,6345.649902,402.487549,315.902924,913.358154,173.598892,364.506866,151.075119,151.738098,54.459354,121.37957,552.517273,61.869999,271.5,91.71405,29394.0,44936.0,8.665,6357.8
2014-01-24,6266.75,403.347534,313.066986,911.837585,170.181412,361.205414,147.695221,149.444214,54.596298,120.570671,504.164612,62.130001,265.75,90.67321,29574.0,44719.0,8.738,6276.15
2014-01-27,6135.850098,391.958191,301.816284,905.703796,162.397644,358.711273,145.262756,143.777008,52.907284,117.931068,493.146973,62.73,252.899994,86.123184,29905.0,45238.0,8.765,6148.05
2014-01-28,6126.25,392.748444,299.608002,898.696655,163.820938,353.223297,145.426758,148.017761,52.907284,117.185997,482.658569,63.380001,253.300003,82.79245,29628.0,44199.0,8.748,6139.4
2014-01-29,6120.25,388.913239,300.072937,897.660645,161.046768,357.327301,143.363297,145.748016,52.679035,117.931068,475.441711,62.380001,251.050003,83.208786,29835.0,44443.0,8.774,6120.8
2014-01-30,6073.700195,383.52066,293.726959,900.829224,156.728699,356.024994,138.165894,144.417953,52.039959,115.887466,480.734161,62.467999,246.050003,83.535919,29499.0,43256.0,8.82,6073.7
2014-01-31,6089.5,386.379669,292.19278,910.354919,158.843491,355.722229,138.826355,147.574432,52.907284,117.313698,475.82663,62.310001,236.899994,85.349983,29482.0,43352.0,8.77,6112.0
2014-02-03,6001.799805,381.614746,291.262939,891.425049,154.951645,348.806915,135.592255,143.839661,52.770336,114.014214,470.197601,62.5,221.399994,83.387222,29789.0,43878.0,8.734,6039.7
2014-02-04,6000.899902,381.91684,293.169037,873.917297,155.779846,342.26651,138.056564,142.769836,52.587742,114.099342,458.698822,62.869999,216.199997,89.95948,29534.0,43587.0,8.679,6037.85
2014-02-05,6022.399902,379.917969,296.353668,891.404846,155.393875,344.203186,138.630524,143.058975,52.679035,115.057266,496.562897,62.130001,211.75,85.796059,29719.0,44430.0,8.707,6048.95
2014-02-06,6036.299805,379.26709,300.793457,883.625854,154.07515,342.516327,137.095459,142.94812,52.952934,114.056778,496.562897,62.23,234.5,86.33136,29231.0,44443.0,8.717,6048.3
2014-02-07,6063.200195,378.616302,301.142151,871.093994,154.461136,342.790253,139.167999,143.984207,52.815987,114.652824,494.686584,62.23,228.800003,82.138206,29310.0,44394.0,8.736,6075.05
2014-02-10,6053.450195,382.102814,299.352295,850.437805,154.477188,343.487061,137.938126,143.1987,52.770336,115.908737,506.95517,62.09,228.550003,75.209091,29471.0,44701.0,8.69,6064.6
2014-02-11,6062.700195,374.339478,299.770691,853.748413,155.812012,345.644836,138.448318,141.256638,54.824543,117.483994,504.357208,62.448002,224.949997,77.171844,29670.0,44730.0,8.74,6072.75
